Day,Total,BDO-AYALA,BDO-QP1,BDO-QP2,BPI,BPI-MT,CASH,CB,EWB,MB,
2014-01-01,126100.00,6500.00,0.00,108000.00,0.00,11600.00,0.00,0.00,0.00,0.00,
2014-01-02,16663268.24,0.00,0.00,15923546.03,0.00,677283.68,4229.18,25112.59,0.00,33096.76,
2014-01-03,18291122.85,0.00,0.00,17901113.82,0.00,104447.34,281151.69,4410.00,0.00,0.00,
2014-01-04,11797491.17,0.00,0.00,11745986.17,0.00,43800.00,7705.00,0.00,0.00,0.00,
2014-01-05,279727.00,0.00,0.00,279727.00,0.00,0.00,0.00,0.00,0.00,0.00,
2014-01-06,11775067.90,0.00,0.00,7179883.53,0.00,2407000.00,1688184.37,0.00,500000.00,0.00,
2014-01-07,20442104.03,0.00,0.00,18677736.73,300000.00,839863.00,20808.60,103695.70,500000.00,0.00,
2014-01-08,18956152.36,0.00,0.00,16549038.36,0.00,1823750.00,83364.00,0.00,500000.00,0.00,
2014-01-09,17674409.41,0.00,0.00,17645894.43,0.00,17724.98,10790.00,0.00,0.00,0.00,
2014-01-10,19592135.91,0.00,0.00,18090885.66,0.00,1489693.98,11556.27,0.00,0.00,0.00,
2014-01-11,11386685.90,0.00,0.00,11166239.65,0.00,195000.00,16656.00,8790.25,0.00,0.00,
2014-01-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2014-01-13,8991190.88,0.00,0.00,8333909.45,300000.00,341901.30,6560.13,8820.00,0.00,0.00,
2014-01-14,20061758.89,0.00,0.00,19444581.29,0.00,596532.60,20645.00,0.00,0.00,0.00,
2014-01-15,18902570.46,33400.00,0.00,17919669.49,0.00,688894.03,18943.20,126305.85,0.00,115357.89,
2014-01-16,21653594.19,0.00,0.00,18849501.19,0.00,2800000.00,4093.00,0.00,0.00,0.00,
2014-01-17,21865537.30,0.00,0.00,21207912.19,0.00,508989.87,4715.00,0.00,0.00,143920.24,
2014-01-18,11109031.27,0.00,0.00,8604621.27,0.00,1695000.00,23490.00,88920.00,0.00,697000.00,
2014-01-19,2051812.50,0.00,0.00,1515000.00,0.00,536812.50,0.00,0.00,0.00,0.00,
2014-01-20,16272222.86,0.00,0.00,12945098.88,661161.31,1037399.00,1628563.67,0.00,0.00,0.00,
2014-01-21,22052615.59,0.00,0.00,19695045.38,0.00,1709895.75,385127.33,131564.71,0.00,130982.42,
2014-01-22,19306757.01,0.00,0.00,17474407.77,0.00,1711244.45,13124.79,107980.00,0.00,0.00,
2014-01-23,19941983.24,0.00,0.00,17371124.06,424559.98,1186284.20,461585.00,498430.00,0.00,0.00,
2014-01-24,16952854.72,266879.80,11700.00,16546059.13,0.00,990.08,127225.71,0.00,0.00,0.00,
2014-01-25,10365475.03,0.00,0.00,10056467.03,0.00,105000.00,8470.00,195538.00,0.00,0.00,
2014-01-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2014-01-27,21234821.96,0.00,0.00,19853851.96,0.00,1374125.00,6845.00,0.00,0.00,0.00,
2014-01-28,20524727.86,0.00,0.00,18685218.25,0.00,1357516.92,23465.82,200744.57,0.00,257782.30,
2014-01-29,21513736.09,0.00,0.00,20686712.42,0.00,428215.52,298808.15,100000.00,0.00,0.00,
2014-01-30,22696625.80,0.00,0.00,21894053.24,0.00,413181.25,389391.31,0.00,0.00,0.00,
2014-01-31,21660296.87,0.00,0.00,21013718.12,0.00,500000.00,146578.75,0.00,0.00,0.00,
2014-02-01,11645118.29,6500.00,0.00,11507018.29,0.00,131600.00,0.00,0.00,0.00,0.00,
2014-02-02,6930.00,0.00,0.00,0.00,0.00,0.00,0.00,6930.00,0.00,0.00,
2014-02-03,15300346.89,0.00,0.00,13906309.51,0.00,1359218.38,34819.00,0.00,0.00,0.00,
2014-02-04,17182231.29,0.00,0.00,16277303.04,0.00,900000.00,4928.25,0.00,0.00,0.00,
2014-02-05,19241493.17,0.00,0.00,17858062.02,0.00,712331.59,443097.00,92580.92,0.00,0.00,
2014-02-06,18876704.79,0.00,0.00,17434523.49,0.00,1422467.58,19713.72,0.00,0.00,0.00,
2014-02-07,19074171.75,0.00,0.00,16997278.85,248388.05,669375.00,359129.85,400000.00,0.00,0.00,
2014-02-08,18121076.20,0.00,0.00,17745109.20,0.00,141000.00,46167.00,188800.00,0.00,0.00,
2014-02-09,5000.00,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,
2014-02-10,18711362.16,0.00,0.00,17801343.67,428215.52,253678.55,228124.42,0.00,0.00,0.00,
2014-02-11,22007962.53,0.00,0.00,20576442.72,0.00,841734.86,3136.95,390093.41,0.00,114835.50,
2014-02-12,21492939.56,0.00,0.00,20557811.64,0.00,443485.75,76323.00,415319.17,0.00,0.00,
2014-02-13,19289157.09,0.00,26689.88,18824667.21,0.00,37800.00,0.00,0.00,0.00,0.00,
2014-02-14,22131571.22,0.00,0.00,19358364.22,0.00,500000.00,2111407.00,161800.00,0.00,0.00,
2014-02-15,8433294.99,33400.00,0.00,8193382.99,12000.00,145500.00,1807.00,35495.00,0.00,0.00,
2014-02-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2014-02-17,16738964.30,0.00,0.00,16550501.87,48000.00,101756.28,10976.15,27730.00,0.00,0.00,
2014-02-18,18676455.55,0.00,0.00,17684038.90,0.00,874340.19,77276.46,40800.00,0.00,0.00,
2014-02-19,19520847.89,0.00,0.00,18251837.95,15210.94,1099202.41,2900.00,72155.40,0.00,0.00,
2014-02-20,21257739.57,0.00,0.00,20255578.26,461161.31,521000.00,0.00,20000.00,0.00,0.00,
2014-02-21,19116839.96,0.00,0.00,18575385.54,0.00,523548.42,17906.00,0.00,0.00,0.00,
2014-02-22,13747424.54,0.00,0.00,13606284.96,0.00,92000.00,49139.58,0.00,0.00,0.00,
2014-02-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2014-02-24,14107935.29,0.00,11700.00,12960836.55,0.00,1122800.74,12598.00,0.00,0.00,0.00,
2014-02-25,18055911.85,0.00,0.00,17130405.55,0.00,644100.44,83022.02,75998.45,0.00,0.00,
2014-02-26,15987361.53,0.00,0.00,15267856.16,0.00,688473.00,8607.37,7300.00,15125.00,0.00,
2014-02-27,19799181.72,0.00,0.00,19212640.05,0.00,560480.00,10020.00,0.00,16041.67,0.00,
